Y=DIP,X=PIP
0.017502153,0.017502154
0.087539368,0.126054712
0.294503274,0.445946037
0.63367226,0.967363964
1.100324715,1.679222425
1.689739032,2.569531593
2.397193598,3.625761865
3.217966804,4.835169939
4.14733704,6.185067081
5.180582697,7.663022293
6.312982164,9.257002779
7.539813831,10.95546031
8.856356088,12.74737485
10.25788732,14.62226712
11.73968593,16.5701905
13.2970303,18.58171065
14.92519882,20.64787926
16.61946987,22.76020597
18.37512186,24.91063139
20.18743317,27.09150263
22.05168219,29.29555179
23.9631473,31.51587754
25.91710691,33.74592935
27.9088394,35.97949386
29.93362316,38.2106828
31.98673658,40.43392182
34.06345804,42.64393983
36.15906595,44.83575846
38.26883869,47.00468119
40.38805465,49.14628226
42.51199222,51.25639504
44.63592978,53.33110002
46.75514574,55.36671246
48.86491848,57.3597712
50.96052639,59.30701968
53.03724786,61.20540645
55.09036127,63.05206039
57.11514503,64.84428575
59.10687752,66.57955014
61.06083713,68.25547466
62.97230225,69.86982488
64.83655126,71.42050257
66.64886257,72.90553821
68.40451456,74.32308397
70.09878562,75.67140688
71.72695413,76.94888192
73.2842985,78.15398432
74.76609711,79.28528077
76.16762835,80.34141864
77.4841706,81.32111275
78.71100227,82.22312892
79.84340174,83.04626358
80.87664739,83.78931902
81.80601763,84.45107372
82.62679084,85.03024769
83.33424541,85.52546262
83.92365973,85.93519731
84.39031219,86.25773887
84.72948117,86.49113065
84.93644507,86.63311792
85.00648228,86.68109272
